Altitude,FR,F_prop,Mach,Ratio,eta
14655.17241,375.6520692,6382.00499,0.4,0.058861137,0.7
15517.24138,376.821804,6298.690675,0.4,0.059825418,0.7
16379.31034,377.5925299,6213.213005,0.4,0.060772507,0.7
17241.37931,378.2134694,6127.992427,0.4,0.061718984,0.7
18103.44828,378.6889735,6043.042598,0.4,0.062665283,0.7
18965.51724,379.0235098,5958.378267,0.4,0.063611858,0.7
19827.58621,379.2217096,5874.015605,0.4,0.064559193,0.7
20689.65517,379.2884271,5789.97263,0.4,0.06550781,0.7
21551.72414,378.6960572,5703.21243,0.4,0.066400482,0.7
22413.7931,378.4161449,5619.230481,0.4,0.067343055,0.7
23275.86207,377.9994602,5535.487022,0.4,0.068286577,0.7
24137.93103,377.4471026,5451.974092,0.4,0.069231272,0.7
25000,377.0885345,5371.644606,0.4,0.070199829,0.7
0,592.6144639,11166.26127,0.2,0.053071879,0.6
862.0689655,595.4596252,11172.37527,0.2,0.053297496,0.6
1724.137931,598.3790067,11178.0053,0.2,0.053531823,0.6
2586.206897,601.3756158,11183.12809,0.2,0.05377526,0.6
3448.275862,601.0022671,11131.3088,0.2,0.053992058,0.6
4310.344828,595.4352159,10994.0707,0.2,0.054159668,0.6
5172.413793,589.8669723,10856.91006,0.2,0.054331018,0.6
6034.482759,584.2985706,10719.85153,0.2,0.054506219,0.6
6896.551724,578.7310417,10582.91978,0.2,0.054685385,0.6
7758.62069,573.1654165,10446.13955,0.2,0.054868635,0.6
8620.689655,567.602728,10309.53569,0.2,0.05505609,0.6
9482.758621,562.0440156,10173.13322,0.2,0.055247877,0.6
10344.82759,556.4903293,10036.95735,0.2,0.055444126,0.6
11206.89655,550.6634744,9896.698809,0.2,0.055641127,0.6
12068.96552,545.0912546,9760.590061,0.2,0.055846137,0.6
12931.03448,539.523089,9624.727304,0.2,0.056055935,0.6
13793.10345,533.9594812,9489.128928,0.2,0.056270653,0.6
14655.17241,528.40087,9353.812617,0.2,0.056490427,0.6
15517.24138,522.8476192,9218.795227,0.2,0.056715396,0.6
16379.31034,517.3837646,9084.034825,0.2,0.056955282,0.6
17241.37931,511.850329,8949.657714,0.2,0.057192168,0.6
18103.44828,506.3237051,8815.62342,0.2,0.057434816,0.6
18965.51724,501.0672148,8685.782583,0.2,0.057688206,0.6
19827.58621,495.5980376,8553.073561,0.2,0.057943853,0.6
20689.65517,490.1436438,8420.846863,0.2,0.05820598,0.6
21551.72414,484.7053062,8289.130118,0.2,0.05847481,0.6
22413.7931,479.2844553,8157.95284,0.2,0.058750579,0.6
23275.86207,473.8827301,8027.347019,0.2,0.059033542,0.6
24137.93103,468.2220893,7893.456183,0.2,0.059317754,0.6
25000,462.8019002,7763.270193,0.2,0.059614298,0.6
0,381.2552817,7861.333754,0.3,0.048497532,0.6
862.0689655,388.7196742,7876.743391,0.3,0.049350303,0.6
1724.137931,396.1618282,7892.153436,0.3,0.050196924,0.6
2586.206897,403.5866829,7907.553684,0.3,0.051038121,0.6
3448.275862,410.9992254,7922.93287,0.3,0.051874632,0.6
4310.344828,418.4044921,7938.278622,0.3,0.052707207,0.6
5172.413793,423.8073807,7927.51637,0.3,0.053460297,0.6
6034.482759,422.7421614,7833.288065,0.3,0.053967396,0.6
6896.551724,421.5803969,7739.134251,0.3,0.054473845,0.6
7758.62069,420.3247622,7645.069953,0.3,0.054979845,0.6
8620.689655,418.9779183,7551.110344,0.3,0.055485604,0.6
9482.758621,417.2847976,7453.998018,0.3,0.05598134,0.6
10344.82759,415.7347094,7359.948582,0.3,0.056486089,0.6
11206.89655,414.0976047,7266.007852,0.3,0.056991076,0.6
12068.96552,412.3755801,7172.186038,0.3,0.057496498,0.6
12931.03448,410.5706543,7078.492841,0.3,0.058002553,0.6
13793.10345,408.6847612,6984.937385,0.3,0.058509438,0.6
14655.17241,406.8248867,6891.481331,0.3,0.05903301,0.6
15517.24138,404.7918321,6798.222522,0.3,0.059543775,0.6
16379.31034,402.6839758,6705.124108,0.3,0.060056155,0.6
17241.37931,400.5029083,6612.191743,0.3,0.060570371,0.6
18103.44828,398.5224614,6522.686576,0.3,0.061097901,0.6
18965.51724,396.2442429,6430.61231,0.3,0.061618431,0.6
19827.58621,393.9051377,6338.805467,0.3,0.062141856,0.6
20689.65517,391.5077995,6247.283882,0.3,0.062668482,0.6
21551.72414,389.0550248,6156.067025,0.3,0.063198634,0.6
22413.7931,386.3199254,6062.520244,0.3,0.063722662,0.6
23275.86207,383.7046125,5971.300914,0.3,0.064258127,0.6
24137.93103,381.039918,5880.427675,0.3,0.064797994,0.6
25000,378.3174103,5789.79318,0.3,0.065342129,0.6
0,165.8715219,5992.686279,0.4,0.027678993,0.6
862.0689655,178.1028925,6006.967956,0.4,0.029649383,0.6
1724.137931,190.2117813,6021.384334,0.4,0.031589377,0.6
2586.206897,202.2051649,6035.932794,0.4,0.033500235,0.6
3448.275862,214.0900427,6050.610036,0.4,0.035383216,0.6
4310.344828,225.8734393,6065.412048,0.4,0.037239587,0.6
5172.413793,237.5624052,6080.33406,0.4,0.039070617,0.6
6034.482759,249.1640161,6095.370495,0.4,0.040877583,0.6
6896.551724,260.6853712,6110.514906,0.4,0.042661768,0.6
7758.62069,268.1483705,6082.79989,0.4,0.04408305,0.6
8620.689655,271.081441,6008.079568,0.4,0.045119483,0.6
9482.758621,273.8260228,5933.472472,0.4,0.046149371,0.6
10344.82759,276.3859434,5858.985522,0.4,0.047173003,0.6
11206.89655,278.7649341,5784.625234,0.4,0.048190665,0.6
12068.96552,280.9666223,5710.397646,0.4,0.049202637,0.6
12931.03448,283.1319047,5636.266011,0.4,0.05023395,0.6
13793.10345,285.0005706,5562.316706,0.4,0.051237746,0.6
14655.17241,286.7032039,5488.514444,0.4,0.052236941,0.6
15517.24138,288.4746375,5417.226313,0.4,0.053251354,0.6
16379.31034,289.891561,5344.084951,0.4,0.054245313,0.6
17241.37931,291.158334,5271.159429,0.4,0.055236108,0.6
18103.44828,292.2790156,5198.461589,0.4,0.056224137,0.6
